TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Musculoskeletal pain mild,939761000006103,69.000,21,277829,7.6e-05,21,1,,,,
Moderate cigarette smoker,230062009,70.000,21,277829,7.6e-05,32,1.52,NaN,NaN,NaN,NaN
Ultrasound scan of lower leg,427253008,70.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Discharge from community rapid response team,11639651000006105,69.000,21,277829,7.6e-05,29,1.38,,,,
Plain X-ray hand normal,168639000,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Snores,72863001,69.000,21,277829,7.6e-05,23,1.1,,,,
Born in Wales,315560000,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Family history of malignant neoplasm of breast,429740004,69.000,21,277829,7.6e-05,23,1.1,,,,
O/E - state of mind,162715009,70.000,21,277829,7.6e-05,23,1.1,NaN,NaN,,NaN
[X] Adverse reaction to amoxicillin,292967008,70.000,21,277829,7.6e-05,21,1,,,,
Adult screening NOS,171302002,69.000,21,277829,7.6e-05,31,1.48,NaN,NaN,NaN,NaN
Vaginal swab taken,916901000006103,69.000,21,277829,7.6e-05,21,1,,,,
Provision of information about abdominal aortic aneurysm screening programme,851191000000106,69.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Spine X-ray,79760008,69.000,21,277829,7.6e-05,21,1,,,,
Repeat dispensing service declined,783871000000107,69.000,21,277829,7.6e-05,21,1,,,,
Swab from nasopharynx taken for virology,439578005,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,NaN,NaN
Discharge from penis,2910007,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,NaN,NaN
Pruritic rash,64144002,70.000,21,277829,7.6e-05,27,1.29,,,,
Left ventricular thrombus,309519009,69.000,21,277829,7.6e-05,28,1.33,NaN,NaN,,NaN
Xeroderma,52475004,70.000,21,277829,7.6e-05,25,1.19,NaN,NaN,,NaN
"Osteoporosis, unspecified",64859006,69.000,21,277829,7.6e-05,30,1.43,NaN,NaN,,NaN
Suction clearance of middle ear,172707007,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Healthy lifestyle programme completed,377621000000107,69.000,21,277829,7.6e-05,24,1.14,,,,
Aphakia,24010005,69.000,21,277829,7.6e-05,32,1.52,,,,
Audiogram bilateral abnormality,164750000,70.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
WHO performance status grade 0,373803006,70.000,21,277829,7.6e-05,25,1.19,NaN,NaN,NaN,NaN
Suspected coronavirus infection,700217006,70.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
[V]Operation cancelled for other reason,416237000,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Adverse reaction to Oxybutynin Hydrochloride,1095461000006106,70.000,21,277829,7.6e-05,21,1,,,,
Home nebuliser therapy,708409001,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Alcohol misuse enhanced service completed,166471000000105,69.500,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Schizophrenia in remission,4926007,69.000,21,277829,7.6e-05,22,1.05,,,,
FH: Ovarian carcinoma,275111003,70.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Audiogram abnormal,275729001,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,,NaN
Seen by psychological wellbeing practitioner,762481000000100,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,NaN,NaN
Avulsion fracture,23482006,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,,NaN
Checking blood and blood products,299341000000104,69.000,21,277829,7.6e-05,25,1.19,,,,
FH: Parkinsonism,275117004,69.000,21,277829,7.6e-05,21,1,,,,
Disabled,21134002,69.000,21,277829,7.6e-05,21,1,,,,
Retinitis pigmentosa,28835009,69.000,21,277829,7.6e-05,31,1.48,NaN,NaN,NaN,NaN
Symptom frequency,162451001,70.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Resisted functional activity,278902003,69.000,21,277829,7.6e-05,22,1.05,,,,
Nonvenomous insect bite without infection,89021008,69.000,21,277829,7.6e-05,22,1.05,,,,
Stripping of lower limb varicose veins,9365003,69.000,21,277829,7.6e-05,33,1.57,NaN,NaN,NaN,NaN
Medical record sent by Health Authority,936061000000101,69.000,21,277829,7.6e-05,21,1,,,,
Optical urethrotomy,176355007,69.000,21,277829,7.6e-05,28,1.33,NaN,NaN,,NaN
Fuchs' corneal dystrophy,193839007,70.000,21,277829,7.6e-05,29,1.38,NaN,NaN,NaN,NaN
Sigmoidoscopy abnormal,759111000000100,70.000,21,277829,7.6e-05,21,1,,,,
Complaints about care,186049004,69.000,21,277829,7.6e-05,24,1.14,,,,
Patient care record reviewed by clinical supervisor,1894181000006105,69.000,21,277829,7.6e-05,23,1.1,NaN,NaN,NaN,NaN
Anti-nuclear antibody level,993591000000103,69.000,21,277829,7.6e-05,21,1,0.1466666667,0.1,0.1125462868,0.1
Pin prick sensation of right foot normal,308076009,69.000,21,277829,7.6e-05,25,1.19,,,,
Discussion about advance care planning,713662007,70.000,21,277829,7.6e-05,24,1.14,NaN,NaN,NaN,NaN
Hepatic fibrosis,62484002,69.000,21,277829,7.6e-05,28,1.33,NaN,NaN,NaN,NaN
C/O - an ache,267104002,69.000,21,277829,7.6e-05,22,1.05,,,,
Suspected ischaemic heart disease,205011000000103,69.000,21,277829,7.6e-05,35,1.67,,,,
High-dose statin declined,1936001000006107,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Type 2 diabetes mellitus without complication,313436004,69.000,21,277829,7.6e-05,44,2.1,NaN,NaN,NaN,NaN
Referred for telecare,280091000000103,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Heart failure monitoring,871681000000102,69.500,21,277829,7.6e-05,22,1.05,,,,
Aerobic exercise five times a week,413460004,70.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Accepted,385645004,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Non-urgent urology admission,183502004,69.000,21,277829,7.6e-05,25,1.19,,,,
Rotator cuff complete rupture,202843000,69.000,21,277829,7.6e-05,39,1.86,NaN,NaN,,NaN
Written consent given for procedure,2003001000006100,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Polymorphous light eruption,238525001,69.000,21,277829,7.6e-05,30,1.43,,,,
FH: Respiratory disease NOS,266898002,69.000,21,277829,7.6e-05,22,1.05,,,,
Application of Futura splint,180318005,70.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Pseudomonas infection,63398001,69.000,21,277829,7.6e-05,23,1.1,,,,
Iritis,65074000,69.000,21,277829,7.6e-05,25,1.19,NaN,NaN,NaN,NaN
Recommendation to start drug treatment,306807008,69.000,21,277829,7.6e-05,23,1.1,,,,
Hepatitis A antibody test,1008921000000106,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Referral to hypertension clinic,183856001,69.000,21,277829,7.6e-05,24,1.14,NaN,NaN,,NaN
Use of indoor mobility aids,183368003,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Poor oral hygiene,110299009,69.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Other peripheral vascular disease,400047006,69.000,21,277829,7.6e-05,34,1.62,NaN,NaN,NaN,NaN
Exercise,256235009,69.000,21,277829,7.6e-05,22,1.05,,,,
Head injury advice given,400976006,69.000,21,277829,7.6e-05,21,1,NaN,NaN,NaN,NaN
Referral to maxillofacial surgery service,384711009,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Main spoken language French,315571004,69.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Workplace ergonomics,816681000000103,69.000,21,277829,7.6e-05,22,1.05,NaN,NaN,,NaN
Sunburn,403194002,69.000,21,277829,7.6e-05,24,1.14,,,,
Nicotine replacement therapy using nicotine inhalator,280811000000104,69.000,21,277829,7.6e-05,27,1.29,NaN,NaN,,NaN
Acromioclavicular joint,85856004,69.000,21,277829,7.6e-05,23,1.1,,,,
Adverse reaction to Co-Codamol 8/500,1100581000006104,69.000,21,277829,7.6e-05,21,1,,,,
Referred by physiotherapist,185370009,69.000,21,277829,7.6e-05,21,1,,,,
Osteotomy of bone of foot,178966003,70.000,21,277829,7.6e-05,30,1.43,NaN,NaN,NaN,NaN
Fracture of upper limb,23406007,70.000,21,277829,7.6e-05,26,1.24,,,,
O/E - joint not swollen,164525000,70.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Learning disabilities: reasonable adjustments,2008481000006106,69.000,21,277829,7.6e-05,21,1,NaN,NaN,,NaN
Glue ear,78868004,70.000,21,277829,7.6e-05,22,1.05,NaN,NaN,NaN,NaN
Injection of therapeutic substance NOS,28289002,69.000,21,277829,7.6e-05,24,1.14,,,,
Audio dictation,24771000000105,69.000,20,277829,7.2e-05,21,1.05,,,,
Pulmonary embolus,59282003,70.000,20,277829,7.2e-05,39,1.95,NaN,NaN,NaN,NaN
Prostate,41216001,69.000,20,277829,7.2e-05,20,1,,,,
Feverish cold,135882008,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Prescription requested,1088121000000108,69.000,20,277829,7.2e-05,33,1.65,NaN,NaN,NaN,NaN
Pharyngeal pouch,111328001,70.000,20,277829,7.2e-05,28,1.4,,,,
Heat therapy,266694003,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,,NaN
FABER test negative,1930131000006101,69.000,20,277829,7.2e-05,20,1,,,,
Wells DVT score - previous documented DVT,1859371000006104,69.000,20,277829,7.2e-05,22,1.1,NaN,1,NaN,1
Rubella antibody present - immune,165792000,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
[RFC] Reason for care : Mental health,909591000006105,69.000,20,277829,7.2e-05,24,1.2,NaN,NaN,NaN,NaN
Language Gujurati,161142001,70.000,20,277829,7.2e-05,21,1.05,,,,
Magnetic resonance imaging report received,609185006,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,,NaN
Peripheral vascular disease monitoring second letter,863151000000105,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Deteriorating renal function,314983004,69.000,20,277829,7.2e-05,30,1.5,NaN,NaN,NaN,NaN
Sickle cell trait,16402000,69.000,20,277829,7.2e-05,24,1.2,,,,
Pneumonia or influenza NOS,195878008,69.000,20,277829,7.2e-05,31,1.55,,,,
Referral to walk in centre,113111000000104,69.000,20,277829,7.2e-05,21,1.05,,,,
Dupuytren's disease of finger,203049007,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,,NaN
Sertraline adverse reaction,292303004,69.000,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Repair of recurrent inguinal hernia,19273005,69.000,20,277829,7.2e-05,22,1.1,,,,
Family history of myocardial infarct in first degree female relative less than 65 years of age,401066000,69.000,20,277829,7.2e-05,20,1,,,,
O/E - dorsalis pedis - L,275290007,69.000,20,277829,7.2e-05,20,1,,,,
Patient noncompliance - general,275936005,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,,NaN
24 hour urine metadrenaline output,1021451000000108,69.000,20,277829,7.2e-05,24,1.2,131.568571429,0.6,225.473798706,0.5
Express consent for Emergency Care Summary upload,920451000000109,70.000,20,277829,7.2e-05,21,1.05,NaN,NaN,NaN,NaN
General pathology referral,905161000006108,69.500,20,277829,7.2e-05,24,1.2,NaN,NaN,NaN,NaN
Dementia monitoring second letter,717471000000101,69.000,20,277829,7.2e-05,21,1.05,,,,
Serum folate below reference range,165650003,69.500,20,277829,7.2e-05,20,1,,,,
Removal of sebaceous cyst,303237000,70.000,20,277829,7.2e-05,29,1.45,NaN,NaN,NaN,NaN
Primary open angle glaucoma,77075001,70.000,20,277829,7.2e-05,21,1.05,NaN,NaN,NaN,NaN
Practice based smoking cessation programme start date,712971000000108,70.000,20,277829,7.2e-05,21,1.05,,,,
Blackout,853671000006108,69.000,20,277829,7.2e-05,25,1.25,NaN,NaN,,NaN
No smear - benign hysterectomy,268544001,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,NaN,NaN
Sneezing,76067001,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,,NaN
Test request : Immunoglobulins,109911000006107,69.000,20,277829,7.2e-05,21,1.05,,,,
Partial meniscectomy of knee,303875006,69.000,20,277829,7.2e-05,21,1.05,,,,
Communication,263536004,69.000,20,277829,7.2e-05,35,1.75,NaN,NaN,NaN,NaN
Chronic disease - good control,170560003,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,,NaN
Left sided cerebral infarction,307766002,69.500,20,277829,7.2e-05,24,1.2,,,,
Coronary heart disease monitoring telephone invitation,248461000000107,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
Ulcerative proctocolitis,295046003,69.000,20,277829,7.2e-05,85,4.25,,,,
Nursing home visit note,24751000000101,69.000,20,277829,7.2e-05,68,3.4,NaN,NaN,NaN,NaN
Lung consolidation,95436008,69.000,20,277829,7.2e-05,30,1.5,,,,
Epidemic vertigo,186738001,69.500,20,277829,7.2e-05,24,1.2,NaN,NaN,,NaN
Digital fasciectomy,426302001,69.000,20,277829,7.2e-05,34,1.7,NaN,NaN,NaN,NaN
Personal care activity,285592006,70.000,20,277829,7.2e-05,23,1.15,NaN,NaN,NaN,NaN
Bronchopneumonia,396285007,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
Retinal venous branch occlusion,24596005,69.000,20,277829,7.2e-05,34,1.7,,,,
Optic atrophy,76976005,69.000,20,277829,7.2e-05,22,1.1,,,,
Local anaesthetic sacral epidural block,180886007,70.000,20,277829,7.2e-05,21,1.05,NaN,NaN,,NaN
Cannot describe symptoms,248283007,70.000,20,277829,7.2e-05,23,1.15,NaN,NaN,NaN,NaN
Monoparesis - arm,249944006,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
Change to formulary medication,197211000000100,70.000,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Urine catecholamine test,1019741000000106,69.000,20,277829,7.2e-05,23,1.15,NaN,NaN,,NaN
Mental state finding,36456004,69.000,20,277829,7.2e-05,33,1.65,NaN,NaN,,NaN
Irritant contact dermatitis,110979008,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
H/O: facial injury,390839009,69.500,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
48 hour ambulatory electrocardiography,427446001,69.500,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
Emergency care dept type - Ambulatory Emergency Care Service,11997151000006102,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,NaN,NaN
MRI of thoracic spine,241647000,70.000,20,277829,7.2e-05,21,1.05,NaN,NaN,,NaN
Homeless,959371000006105,69.000,20,277829,7.2e-05,32,1.6,NaN,NaN,,NaN
Acute mucopurulent conjunctivitis,267642007,69.000,20,277829,7.2e-05,21,1.05,,,,
Chronic respiratory disease questionnaire,449349006,69.000,20,277829,7.2e-05,23,1.15,12.529411765,12,7.961765249,16
Multiple fractures of ribs,1261007,69.000,20,277829,7.2e-05,30,1.5,NaN,NaN,,NaN
Symptom distribution,162422000,69.000,20,277829,7.2e-05,20,1,,,,
Type 2 diabetic dietary review,754121000000107,69.000,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Chronic infective otitis externa,232224009,70.000,20,277829,7.2e-05,28,1.4,,,,
Angiocardiography,34945008,69.000,20,277829,7.2e-05,23,1.15,,,,
Patellar tendinitis,37785001,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Stereotactically guided core needle biopsy of breast,116334007,69.000,20,277829,7.2e-05,20,1,,,,
Health ed.- drugs of addiction,171047005,69.000,20,277829,7.2e-05,20,1,,,,
Gonioscopy,76949005,69.000,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Derangement medial meniscus,111222003,70.000,20,277829,7.2e-05,26,1.3,,,,
Closed bimalleolar fracture,25899002,70.000,20,277829,7.2e-05,44,2.2,NaN,NaN,NaN,NaN
Telephone Reminder,1576501000006109,69.000,20,277829,7.2e-05,26,1.3,,,,
Erythrocytosis,127062003,69.000,20,277829,7.2e-05,28,1.4,NaN,NaN,,NaN
SC2 self-certificate administration,714411000000104,69.000,20,277829,7.2e-05,20,1,,,,
Audiometry,828151000000107,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Urine leucocyte test not done,394965000,69.500,20,277829,7.2e-05,22,1.1,NaN,NaN,,NaN
Post-concussion syndrome,40425004,70.000,20,277829,7.2e-05,50,2.5,NaN,NaN,NaN,NaN
Knee gives way,250102002,69.000,20,277829,7.2e-05,22,1.1,,,,
Referral for assessment for familial hypercholesterolaemia declined,1365251000000103,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Cardiac rehabilitation declined,413756001,70.000,20,277829,7.2e-05,21,1.05,,,,
Hepatitis B core IgM level,1014221000000106,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,,NaN
Adenocarcinoma,35917007,69.000,20,277829,7.2e-05,47,2.35,,,,
BP screening - second recall,185670001,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Patient in hospital,184091000,69.000,20,277829,7.2e-05,25,1.25,,,,
No history of deliberate self-harm,149771000000101,69.000,20,277829,7.2e-05,20,1,,,,
Hyperprolactinaemia,237662005,69.000,20,277829,7.2e-05,27,1.35,NaN,NaN,NaN,NaN
Occupation and employment activity,301705009,69.000,20,277829,7.2e-05,25,1.25,NaN,NaN,,NaN
Nuclear sclerotic cataract,359766000,69.000,20,277829,7.2e-05,20,1,,,,
Adverse reaction to salicylates,269722001,70.000,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
Research study observation activity,873241000000107,69.000,20,277829,7.2e-05,20,1,0,0,,0
Low self-esteem,286647002,69.500,20,277829,7.2e-05,24,1.2,,,,
Adverse reaction to Metronidazole,1022481000006102,70.000,20,277829,7.2e-05,21,1.05,,,,
Free:total PSA (prostate specific antigen) ratio,1030031000000104,69.000,20,277829,7.2e-05,22,1.1,NaN,27.6,NaN,19.3
House dust allergy,232349006,69.000,20,277829,7.2e-05,28,1.4,NaN,NaN,,NaN
Developing a treatment plan,225292002,69.000,20,277829,7.2e-05,49,2.45,,,,
Seen by cardiology service,305802005,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
Dermatofibroma,427186000,69.000,20,277829,7.2e-05,23,1.15,NaN,NaN,,NaN
Hepatitis B carrier,235871004,69.000,20,277829,7.2e-05,29,1.45,NaN,NaN,,NaN
Homemaker,444168002,69.000,20,277829,7.2e-05,21,1.05,,,,
Early satiety,442076002,69.000,20,277829,7.2e-05,32,1.6,NaN,NaN,,NaN
FH: Depression,160329001,69.500,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Alcoholic cirrhosis of liver,420054005,69.000,20,277829,7.2e-05,39,1.95,,,,
Giant cell arteritis without polymyalgia rheumatica,239939001,70.000,20,277829,7.2e-05,25,1.25,NaN,NaN,,NaN
Mixed hearing loss,77507001,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,,NaN
Discharge letter emailed to general practitioner,766251000000108,69.000,20,277829,7.2e-05,20,1,,,,
Aphthous ulcer of mouth,426965005,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Taste sense altered,271801002,70.000,20,277829,7.2e-05,28,1.4,NaN,NaN,NaN,NaN
Lymphocytic colitis,31437008,69.000,20,277829,7.2e-05,33,1.65,NaN,NaN,NaN,NaN
Quadriceps exercises,183307006,69.000,20,277829,7.2e-05,20,1,,,,
Clavicle pain,203509009,69.000,20,277829,7.2e-05,27,1.35,NaN,NaN,,NaN
Referral to neurosurgical service,183546007,69.000,20,277829,7.2e-05,21,1.05,,,,
Attending clinic,312887003,69.000,20,277829,7.2e-05,35,1.75,,,,
Cardiac computed tomography angiography,227281000000102,70.000,20,277829,7.2e-05,22,1.1,NaN,NaN,,NaN
Iliotibial band friction syndrome,423849004,69.000,20,277829,7.2e-05,24,1.2,,,,
Dietary education for type 2 diabetes mellitus,428274007,69.000,20,277829,7.2e-05,27,1.35,NaN,NaN,NaN,NaN
Biopsy of liver,86259008,69.000,20,277829,7.2e-05,24,1.2,NaN,NaN,NaN,NaN
Treatment for hypertension stopped,170588009,70.000,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Preferred place of death: hospital,109401000000108,70.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Raising awareness of risks,415233007,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,NaN,NaN
O/E - percussion note dull,162947008,69.000,20,277829,7.2e-05,21,1.05,,,,
Dermatophytosis of groin and perianal area,399029005,69.000,20,277829,7.2e-05,25,1.25,,,,
Acute otitis media with effusion,270490007,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,,NaN
Injury of tendon of the rotator cuff of shoulder,307731004,69.000,20,277829,7.2e-05,25,1.25,,,,
Other background retinopathy,29555009,69.000,20,277829,7.2e-05,22,1.1,NaN,NaN,,NaN
Contraceptive advice for patients with epilepsy not indicated,527001000000105,69.500,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Corneal dystrophy,5587004,69.000,20,277829,7.2e-05,24,1.2,NaN,NaN,NaN,NaN
Behaviour assessment,165309004,70.000,20,277829,7.2e-05,22,1.1,,,,
Main spoken language Greek,407652002,69.000,20,277829,7.2e-05,21,1.05,,,,
Nuclear magn reson normal,169082008,69.000,20,277829,7.2e-05,20,1,0,0,0,0
History of cerebrovascular accident,275526006,69.000,20,277829,7.2e-05,31,1.55,NaN,NaN,NaN,NaN
Acute phase screening test,1014641000000102,69.000,20,277829,7.2e-05,29,1.45,91.04,91.04,,91.04
Idiopathic pulmonary fibrosis,700250006,70.000,20,277829,7.2e-05,23,1.15,NaN,NaN,,NaN
Exotropia,399054005,69.000,20,277829,7.2e-05,31,1.55,NaN,NaN,,NaN
Prescription record,440545006,70.000,20,277829,7.2e-05,45,2.25,,,,
Patient requested procedure,183995001,69.000,20,277829,7.2e-05,23,1.15,NaN,NaN,NaN,NaN
Fluorescein angiography of eye,172581008,70.000,20,277829,7.2e-05,21,1.05,NaN,NaN,NaN,NaN
Acute kidney injury stage 3,851951000000100,70.000,20,277829,7.2e-05,30,1.5,,,,
Extraction of lens of eye,75170007,69.000,20,277829,7.2e-05,26,1.3,NaN,NaN,,NaN
Influenza vaccination given by other healthcare provider,955641000000103,69.000,20,277829,7.2e-05,20,1,,,,
Splenomegaly,16294009,69.000,20,277829,7.2e-05,24,1.2,,,,
Plastic surgery,394611003,70.000,20,277829,7.2e-05,26,1.3,,,,
Fully conscious,271591004,70.000,20,277829,7.2e-05,149,7.45,NaN,NaN,NaN,NaN
Miscellaneous diagnostic tests,165166002,69.000,20,277829,7.2e-05,25,1.25,,,,
Heart failure self-management plan agreed,812001000000102,70.000,20,277829,7.2e-05,20,1,,,,
Exhaled nitric oxide test,444642008,69.000,20,277829,7.2e-05,23,1.15,NaN,NaN,NaN,NaN
Lupus circulating anticoagulant index,992111000000109,70.000,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Cholesterol level,850981000000101,69.000,20,277829,7.2e-05,22,1.1,4.166666667,4,0.9407443861,3.1
Baseline diastolic blood pressure,716632005,70.000,20,277829,7.2e-05,21,1.05,85.333333333,84,8.667948623,80
Consent given to upload data to Reasonable Adjustment Digital Flag,1853771000000105,69.000,20,277829,7.2e-05,20,1,NaN,NaN,,NaN
Referral to community drug and alcohol team,417096006,69.000,20,277829,7.2e-05,22,1.1,,,,
Uric acid level,1032161000000109,69.000,20,277829,7.2e-05,20,1,NaN,NaN,NaN,NaN
Pin prick sensation of left foot normal,308077000,69.000,20,277829,7.2e-05,24,1.2,,,,
Hospital referral document,1910861000006107,69.000,20,277829,7.2e-05,20,1,,,,
Reporting of significant event,819231000000105,69.000,20,277829,7.2e-05,28,1.4,,,,
Baseline systolic blood pressure,716579001,70.000,20,277829,7.2e-05,21,1.05,144.142857143,140,16.962563822,134
Under care of occupational therapist,305605005,69.000,20,277829,7.2e-05,21,1.05,NaN,NaN,NaN,NaN
